handle,type,packsize,cost,razorCost,url
0,pp,4,12.5,3.125,https://www.ebay.co.uk/itm/193471359075
0,pp,3,9.49,3.1633333333333336,https://www.ebay.co.uk/itm/183181987253
0,pp,8,25.7,3.2125,https://www.amazon.co.uk/dp/B004DMAJMA
0,pp,8,25.99,3.24875,https://www.ebay.co.uk/itm/152590707494
0,pp,4,13.1,3.275,https://www.ebay.co.uk/itm/184296080057
0,pp,8,26.25,3.28125,https://www.amazon.co.uk/dp/B00QTJ1F8C
0,pp,14,45.98,3.2842857142857143,https://www.smartkart.co.uk/gillette-fusion-proglide-power-razor-blades-pack-of-14/
0,pp,14,45.99,3.285,https://www.ebay.co.uk/itm/324169446891
0,pp,10,32.99,3.2990000000000004,https://www.amazon.co.uk/dp/B008P0M56E
0,pp,14,46.24,3.302857142857143,https://www.ebay.co.uk/itm/273946278023
0,pp,8,26.47,3.30875,https://www.amazon.co.uk/dp/B008BH9CW6
0,op,4,13.25,3.3125,https://www.amazon.co.uk/dp/B004ASORA2
0,pp,4,13.26,3.315,https://www.ebay.co.uk/itm/293469316994
0,pp,12,39.99,3.3325,https://www.ebay.co.uk/itm/183538046611
0,ps,9,30,3.3333333333333335,https://www.amazon.co.uk/dp/B01MUWBVV9
0,pp,8,26.75,3.34375,https://www.ebay.co.uk/itm/184282235403
0,pp,8,26.95,3.36875,https://www.ebay.co.uk/itm/121638036963
0,pp,8,26.99,3.37375,https://www.amazon.co.uk/dp/B00K5J2KGI
0,pp,8,27,3.375,https://www.shavers.co.uk/shop-for-brands/gillette/gillette-81694860-fusion-proglide-power-pack-of-8-blade-pack.html
0,op,4,13.6,3.4,https://www.ebay.co.uk/itm/164232085139
0,pp,14,47.99,3.427857142857143,https://www.ebay.co.uk/itm/153913508401
0,pp,14,48.29,3.4492857142857143,https://www.amazon.co.uk/dp/B00U4OZP8Y
0,pp,8,27.78,3.4725,https://www.ebay.co.uk/itm/312967884243
0,pp,8,27.95,3.49375,https://www.ebay.co.uk/itm/163748115391
0,pp,8,27.95,3.49375,https://www.amazon.co.uk/dp/B01BSDFQ8I
0,pp,8,27.95,3.49375,https://www.amazon.co.uk/dp/B0144MDDVC
0,op,9,31.99,3.554444444444444,https://www.amazon.co.uk/dp/B08R7PN8XX
0,pp,8,28.44,3.555,https://www.ebay.co.uk/itm/114217266467
0,pp,8,28.482,3.56025,https://lookincredible.co.uk/products/gillette-fusion-proglide-power-razor-blades-pack-of-8
