id,handle,type,quantity,cost,razorCost,url
,0,pp,4,12.4,,https://www.ebay.co.uk/itm/163965534099
,0,pp,8,24.89,,https://www.ebay.co.uk/itm/133045780630
,0,pp,14,43.63,,https://www.ebay.co.uk/itm/182454096483
,0,pp,8,24.95,,https://www.ebay.co.uk/itm/264507293809
,0,pp,56,174.8,,https://www.ebay.co.uk/itm/174265940307
,0,op,8,24.99,,https://www.amazon.co.uk/dp/B01MY82JKS
,0,pp,8,25,,https://www.amazon.co.uk/dp/B00R10ZV9M
,0,pp,4,12.5,,https://www.ebay.co.uk/itm/193471359075
,1,pp,3,9.49,,https://www.ebay.co.uk/itm/143332480441
,0,pp,3,9.49,,https://www.ebay.co.uk/itm/183181987253
,0,pp,8,25.7,,https://www.amazon.co.uk/dp/B004DMAJMA
,0,pp,8,25.99,,https://www.ebay.co.uk/itm/152590707494
,0,pp,4,13.1,,https://www.ebay.co.uk/itm/184296080057
,0,pp,8,26.25,,https://www.amazon.co.uk/dp/B00QTJ1F8C
,0,pp,14,45.98,,https://www.smartkart.co.uk/gillette-fusion-proglide-power-razor-blades-pack-of-14/
,0,pp,14,45.99,,https://www.ebay.co.uk/itm/324169446891
,0,pp,10,32.99,,https://www.amazon.co.uk/dp/B008P0M56E
,0,pp,14,46.24,,https://www.ebay.co.uk/itm/273946278023
,0,pp,8,26.47,,https://www.amazon.co.uk/dp/B008BH9CW6
,0,op,4,13.25,,https://www.amazon.co.uk/dp/B004ASORA2
,0,pp,4,13.26,,https://www.ebay.co.uk/itm/293469316994
,0,pp,12,39.99,,https://www.ebay.co.uk/itm/183538046611
,0,ps,9,30,,https://www.amazon.co.uk/dp/B01MUWBVV9
,0,pp,8,26.75,,https://www.ebay.co.uk/itm/184282235403
,0,pp,8,26.95,,https://www.ebay.co.uk/itm/121638036963
,0,pp,8,26.99,,https://www.amazon.co.uk/dp/B00K5J2KGI
,0,pp,8,27,,https://www.shavers.co.uk/shop-for-brands/gillette/gillette-81694860-fusion-proglide-power-pack-of-8-blade-pack.html
,0,pp,14,47.99,,https://www.ebay.co.uk/itm/153913508401
,0,pp,14,48.29,,https://www.amazon.co.uk/dp/B00U4OZP8Y
,0,pp,8,27.78,,https://www.ebay.co.uk/itm/312967884243
,0,pp,8,27.95,,https://www.amazon.co.uk/dp/B01BSDFQ8I
,0,pp,8,27.95,,https://www.amazon.co.uk/dp/B0144MDDVC
,0,op,9,31.99,,https://www.amazon.co.uk/dp/B08R7PN8XX
,0,pp,8,28.44,,https://www.ebay.co.uk/itm/114217266467
,0,pp,8,28.482,,https://lookincredible.co.uk/products/gillette-fusion-proglide-power-razor-blades-pack-of-8
,0,pp,12,42.78,,https://www.amazon.co.uk/dp/B0792P739P
,0,pp,8,28.55,,https://www.ebay.co.uk/itm/202980296251
,0,pp,14,50.01,,https://www.amazon.co.uk/dp/B073HR3PZ3
,0,pp,16,57.32,,https://www.ebay.co.uk/itm/162478260782
,0,pp,16,57.98,,https://www.chemist-4-u.com/gillette-fusion-proglide-power-mens-razor-blades-8-count
,0,pp,28,102.06,,https://www.beautytheshop.com/uk/drugstore/men/gillette/gillette-fusion-proglide-power-refill-4-units-13
,0,pp,4,14.64,,https://www.ebay.co.uk/itm/153840006263
,0,op,4,14.75,,https://www.amazon.co.uk/dp/B0799CJDKR
,0,pp,14,52.09,,https://www.amazon.co.uk/dp/B07982T3RV
,0,pp,8,29.97,,https://www.carethy.co.uk/hygiene-and-health/gillette/p-372539
,0,pp,4,14.99,,https://www.ebay.co.uk/itm/174208473757
,0,ps,8,29.99,,https://www.amazon.co.uk/dp/B08R7MZB6Z
,0,op,1,3.75,,https://www.ebay.co.uk/itm/152519271001
,0,pc,7,26.33,,https://www.amazon.co.uk/dp/B086TS65K7
,0,pp,4,15.08,,https://www.onbuy.com/gb/4-x-gillette-fusion-power-proglide-mens-replacement-razor-blades-with-microcomb~c9762~p17643526/
,0,pp,4,15.1,,https://www.amazon.co.uk/dp/B004ASOR9I
,0,pp,20,76,,https://www.beautiq.shop/gb/gillette/gillette-fusion-proglide-power-refill-4-units-7702018263905
,0,ps,4,15.2,,https://www.amazon.co.uk/dp/B01KK8UOC0
,0,op,80,304.05,,https://www.amazon.co.uk/dp/B00LNBI6JW
,0,pp,8,30.75,,https://www.ebay.co.uk/itm/392758833679
,0,op,4,15.49,,https://www.amazon.co.uk/dp/B014DG8XNM
,0,pp,40,155.64,,https://www.amazon.co.uk/dp/B00LNBI2VO
,0,pp,24,93.619,,https://www.mifarma.co.uk/recambios-fusion5-proglide-power-gillette-4uds
,0,pp,32,125.74,,https://www.amazon.co.uk/dp/B01M2AX5JC
,0,pp,4,15.79,,https://www.gillette.co.uk/11999256.html
,0,pp,4,15.79,,https://www.amazon.co.uk/dp/B07CVJXGSC
,0,pp,32,129.6,,https://www.pharmacyclub.net/uk/drugstore/men/gillette/gillette-fusion-proglide-power-refill-4-units-13
,0,ps,4,16.25,,https://www.amazon.co.uk/dp/B01KLJBO4U
,0,pp,8,32.72,,https://www.ebay.co.uk/itm/164184666916
,0,op,4,16.42,,https://www.amazon.co.uk/dp/B00OYRVORI
,0,pp,8,33.17,,https://www.ebay.co.uk/itm/402218751358
,0,pp,80,333.64,,https://www.amazon.co.uk/dp/B00LNBID86
,0,pp,32,133.8,,https://www.pharmacyclub.net/uk/drugstore/men/gillette/gillette-fusion-proglide-power-refill-8-units-3
,0,pp,16,67,,https://www.ebay.co.uk/itm/362574273192
,0,ps,3,12.57,,https://www.amazon.co.uk/dp/B0733CBTT8
,0,pp,8,33.72,,https://www.ebay.co.uk/itm/153925477316
,0,ps,6,25.29,,https://www.amazon.co.uk/dp/B01AT8WZBE
,0,pp,4,16.99,,https://www.ebay.co.uk/itm/164177984116
,0,pp,4,16.99,,https://www.amazon.co.uk/dp/B014DG96W4
,0,pp,3,12.75,,https://www.wotika.co.uk/index.php/gillette-carg-fus-proglide-power-3u
,0,pc,4,17.05,,https://www.amazon.co.uk/dp/B01KK8UOK2
,0,pp,8,34.15,,https://www.ebay.co.uk/itm/291855307565
,0,pp,14,59.95,,https://www.ebay.co.uk/itm/124158716199
,0,pp,4,17.26,,https://www.amazon.co.uk/dp/B00HVZA6V0
,0,pc,4,17.26,,https://www.amazon.co.uk/dp/B01N19SU23
,0,pp,4,17.26,,https://www.amazon.co.uk/dp/B074RMRQ8Y
,0,ps,2,8.65,,https://www.ebay.co.uk/itm/274688333623
,0,pp,4,17.35,,https://www.amazon.co.uk/dp/B00NY04AN6
,0,pp,4,17.39,,https://www.ebay.co.uk/itm/114217277037
,0,pp,16,69.8,,https://www.ebay.co.uk/itm/202874562525
,0,pp,8,34.99,,https://www.ebay.co.uk/itm/293572856901
,1,ps,8,34.99,,https://www.amazon.co.uk/dp/B08R7RWZ7X
,0,pp,8,35.07,,https://www.ebay.co.uk/itm/164184668529
,0,pp,4,17.64,,https://www.promofarma.com/en/gillette-blades-fusion-proglide-4-4-blades/p-192627
,0,pp,4,17.67,,https://www.amazon.co.uk/dp/B07995P1PK
,0,pp,8,35.8,,https://www.notino.co.uk/gillette/fusion-proglide-power-replacement-blades/
,0,pc,6,26.99,,https://www.amazon.co.uk/dp/B01AT8WZYG
,0,op,1,4.5,,https://www.ebay.co.uk/itm/254113622259
,0,pp,4,18.09,,https://www.healthpharm.co.uk/products/3688694?variant=22887513223
,0,pp,42,189.96,,https://www.ebay.co.uk/itm/193083269730
,1,ps,4,18.22,,https://www.amazon.co.uk/dp/B07BPQJ8XW
,0,pp,8,36.5,,https://www.clearchemist.co.uk/gillette-blade-proglide-pwr.html
,0,pp,8,37.08,,https://www.ebay.co.uk/itm/392758835724
,0,op,12,55.84,,https://www.amazon.co.uk/dp/B00QPVRP6A
,0,op,12,55.84,,https://www.amazon.co.uk/dp/B00DYRBVZY
,0,pp,4,18.66,,https://www.carethy.co.uk/hygiene-and-health/gillette/p-438304
